id,en,jp,trans
0-chapter_name,,見えない未来,看不见的未来
0-synopsis,,自身の予知に従い、魔物は全て倒したと皆に報告するマギサ。しかしルリアはまだ怪しい気配がすると主張する。それは杞憂だとマギサは笑うが、そこへ残っていた魔物が現れマギサを驚愕させる。,根据他自己的预测，所有怪物都向每个人报告他们已经击倒了。然而，Roryi坚称它仍有可疑迹象。虽然很可怕，但是Shohei先生笑了，但是残余的怪物出现并且惊讶于Shijiazha。
0,,ふぅ……さっきので最後の一匹だわ。<br>これで依頼は完了ね。<br>さっそく村に戻りましょうか。,Fuu ......这是前一段时间以来的最后一次。您已完成请求。我要回村吗？
1,,ま、待ってください！<br>まだ怪しい気配が……,请等一下！还有可疑迹象......
2,,もう……何を言ってるの？<br>全ては私の予知の通りよ。<br>だからさっきので魔物は最後。,已经......你在说什么？一切都如我所预测的那样。所以最后一个怪物是最后一个。
3,,怪しい気配なんて杞憂だわ。<br>早く村に戻ってお土産を……,这是一种怀疑的恐惧。回到村里，有纪念品......
4,,<span class='scene-font-5'>グオオォォッ！！</span>,Guoooo“！ ！
5,,えっ？,咦？
6,,ちっ！<br>やっぱりルリアの言う通り、<br>魔物が残ってやがったか！,散了！正如我所料，正如ri Liaisa所证明的那样，恶魔已经离开了！
7,,そんな……そんなはず……<br>だって私が見た未来じゃ……,那样的东西......那是......我看到的未来......
8,,とにかくやるっきゃねーぜ！<br>いくぞ！　姬塔！,无论如何你必须这样做！我会去的！姬塔！
info,,1,scene_chr051_q3_s10
